Title,Bookmark
Yosemite NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1906,"5,414","205,442,061"
1907,"7,102","205,442,061"
1908,"8,850","205,442,061"
1909,"13,182","205,442,061"
1910,"13,619","205,442,061"
1911,"12,530","205,442,061"
1912,"10,884","205,442,061"
1913,"13,735","205,442,061"
1914,"15,145","205,442,061"
1915,"33,452","205,442,061"
1916,"33,390","205,442,061"
1917,"34,510","205,442,061"
1918,"33,527","205,442,061"
1919,"58,362","205,442,061"
1920,"68,906","205,442,061"
1921,"91,513","205,442,061"
1922,"100,506","205,442,061"
1923,"130,046","205,442,061"
1924,"105,894","205,442,061"
1925,"209,166","205,442,061"
1926,"274,209","205,442,061"
1927,"490,430","205,442,061"
1928,"460,619","205,442,061"
1929,"461,257","205,442,061"
1930,"458,566","205,442,061"
1931,"461,855","205,442,061"
1932,"498,289","205,442,061"
1933,"296,088","205,442,061"
1934,"309,431","205,442,061"
1935,"372,317","205,442,061"
1936,"431,192","205,442,061"
1937,"481,492","205,442,061"
1938,"443,325","205,442,061"
1939,"466,552","205,442,061"
1940,"506,781","205,442,061"
1941,"597,863","205,442,061"
1942,"319,816","205,442,061"
1943,"116,682","205,442,061"
1944,"120,494","205,442,061"
1945,"290,569","205,442,061"
1946,"640,483","205,442,061"
1947,"777,622","205,442,061"
1948,"745,899","205,442,061"
1949,"808,372","205,442,061"
1950,"820,953","205,442,061"
1951,"858,405","205,442,061"
1952,"973,971","205,442,061"
1953,"969,225","205,442,061"
1954,"1,008,000","205,442,061"
1955,"984,200","205,442,061"
1956,"1,114,200","205,442,061"
1957,"1,138,700","205,442,061"
1958,"1,139,300","205,442,061"
1959,"1,061,500","205,442,061"
1960,"1,150,400","205,442,061"
1961,"1,227,100","205,442,061"
1962,"1,505,500","205,442,061"
1963,"1,473,400","205,442,061"
1964,"1,547,000","205,442,061"
1965,"1,635,400","205,442,061"
1966,"1,817,100","205,442,061"
1967,"2,238,300","205,442,061"
1968,"2,281,100","205,442,061"
1969,"2,291,300","205,442,061"
1970,"2,277,200","205,442,061"
1971,"2,342,200","205,442,061"
1972,"2,190,301","205,442,061"
1973,"2,254,300","205,442,061"
1974,"2,274,600","205,442,061"
1975,"2,537,400","205,442,061"
1976,"2,682,400","205,442,061"
1977,"2,392,600","205,442,061"
1978,"2,569,268","205,442,061"
1979,"2,350,782","205,442,061"
1980,"2,490,282","205,442,061"
1981,"2,516,893","205,442,061"
1982,"2,415,587","205,442,061"
1983,"2,457,464","205,442,061"
1984,"2,738,467","205,442,061"
1985,"2,831,952","205,442,061"
1986,"2,876,717","205,442,061"
1987,"3,152,275","205,442,061"
1988,"3,216,681","205,442,061"
1989,"3,308,159","205,442,061"
1990,"3,124,939","205,442,061"
1991,"3,423,101","205,442,061"
1992,"3,819,518","205,442,061"
1993,"3,839,645","205,442,061"
1994,"3,962,117","205,442,061"
1995,"3,958,406","205,442,061"
1996,"4,046,207","205,442,061"
1997,"3,669,970","205,442,061"
1998,"3,657,132","205,442,061"
1999,"3,493,607","205,442,061"
2000,"3,400,903","205,442,061"
2001,"3,368,731","205,442,061"
2002,"3,361,867","205,442,061"
2003,"3,378,664","205,442,061"
2004,"3,280,911","205,442,061"
2005,"3,304,144","205,442,061"
2006,"3,242,644","205,442,061"
2007,"3,503,428","205,442,061"
2008,"3,431,514","205,442,061"
2009,"3,737,472","205,442,061"
2010,"3,901,408","205,442,061"
2011,"3,951,393","205,442,061"
2012,"3,853,404","205,442,061"
2013,"3,691,191","205,442,061"
2014,"3,882,642","205,442,061"
2015,"4,150,217","205,442,061"
2016,"5,028,868","205,442,061"
2017,"4,336,890","205,442,061"
2018,"4,009,436","205,442,061"
2019,"4,422,861","205,442,061"
2020,"2,268,313","205,442,061"

